trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 1, 'e': 0.954}",25,0,-93.30573627895818,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
47,False,"{'a': 1, 'e': 0.953}",20,0,-72.48257138826548,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 1, 'e': 0.952}",30,0,-127.73574657556124,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
49,False,"{'a': 1, 'e': 0.951}",20,0,-49.294923042467616,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 1, 'e': 0.95}",30,0,-155.31360688586466,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 1, 'e': 0.949}",25,0,-115.67986450733235,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 1, 'e': 0.948}",30,14,-90.46429952408153,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
53,False,"{'a': 1, 'e': 0.947}",20,0,-102.87031955432971,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 1, 'e': 0.946}",20,0,-111.66083526801275,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 1, 'e': 0.945}",25,0,-166.44649581340155,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 1, 'e': 0.944}",20,0,-39.341167791999666,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 1, 'e': 0.943}",20,0,-148.87268616011903,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
58,False,"{'a': 1, 'e': 0.942}",25,0,-175.94726390267036,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
59,False,"{'a': 1, 'e': 0.941}",20,0,-105.22627432286895,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
60,False,"{'a': 1, 'e': 0.94}",20,0,-135.77637052299173,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 1, 'e': 0.939}",25,0,-84.45516338315977,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 1, 'e': 0.938}",35,0,-134.4797864989126,"{0: 24, 1: 3, 2: 3, 3: 4, 4: 1}",0
63,False,"{'a': 1, 'e': 0.9369999999999999}",25,0,-172.4715320579642,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
64,False,"{'a': 1, 'e': 0.9359999999999999}",20,0,-42.720795080860185,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 1, 'e': 0.9349999999999999}",20,0,-20.73608708438155,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 1, 'e': 0.9339999999999999}",20,0,-67.81392341081967,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
67,False,"{'a': 1, 'e': 0.9329999999999999}",20,0,-88.06326421947077,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 1, 'e': 0.9319999999999999}",30,0,-77.1216717757126,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
69,False,"{'a': 1, 'e': 0.9309999999999999}",30,0,-174.0127376567775,"{0: 15, 1: 5, 2: 5, 3: 4, 4: 1}",0
70,False,"{'a': 1, 'e': 0.9299999999999999}",25,8,-161.7157679422265,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 3}",1
71,False,"{'a': 1, 'e': 0.9289999999999999}",20,10,-33.288985382374946,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 1, 'e': 0.9279999999999999}",25,0,-65.9795940958235,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 1, 'e': 0.9269999999999999}",30,0,-191.99335966391774,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
74,False,"{'a': 1, 'e': 0.9259999999999999}",25,0,-132.40454486957717,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
75,False,"{'a': 1, 'e': 0.9249999999999999}",25,0,-90.70261366210568,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 1, 'e': 0.9239999999999999}",30,0,-56.05301810815469,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 1, 'e': 0.9229999999999999}",25,0,-120.94928215723046,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 1, 'e': 0.9219999999999999}",25,1,-102.96915878294766,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 2}",1
79,False,"{'a': 1, 'e': 0.9209999999999999}",25,0,-195.503725741622,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
80,False,"{'a': 1, 'e': 0.9199999999999999}",25,0,-211.8762133011575,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
81,False,"{'a': 1, 'e': 0.9189999999999999}",25,0,-79.07802533915692,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
